Media,Sample,5.7.25 Replicate #1,5.7.25 Replicate #2,5.8.25 Replicate #1,5.8.25 Replicate #2,5.9.25 Replicate #1,5.9.25 Replicate #2,5.10.25 Replicate #1,5.10.25 Replicate #2,5.11.25 Replicate #1,5.11.25 Replicate #2,5.12.25 Replicate #1,5.12.25 Replicate #2,5.13.25 Replicate #1,5.13.25 Replicate #2
Regular HS,No Cyano 1,0.039,,0.045,0.049,0.059,0.062,0.081,0.083,0.109,0.11,0.195,0.196,0.266,0.27
Regular HS,No Cyano 2,0.044,,0.049,0.048,0.064,0.069,0.085,0.086,0.089,0.088,0.136,0.144,0.201,0.206
Regular HS,No Cyano 3,0.041,,0.051,0.05,0.073,0.086,0.137,0.095,0.084,0.099,0.125,0.13,0.177,0.187
Regular HS,Unfiltered Cyano 1,0.167,,0.274,0.299,0.348,0.413,0.452,0.446,0.266,0.305,0.295,0.372,0.412,0.329
Regular HS,Unfiltered Cyano 2,0.299,,0.225,0.223,0.269,0.303,0.535,0.529,0.222,0.267,0.311,0.336,0.328,0.324
Regular HS,Unfiltered Cyano 3,0.277,,0.228,0.275,0.657,0.653,0.766,0.794,0.583,0.59,0.472,0.464,0.573,0.57
Regular HS,Filtered Cyano 1,0.043,,0.042,0.043,0.043,0.045,0.041,0.043,0.045,0.046,0.043,0.044,0.066,0.065
Regular HS,Filtered Cyano 2,0.042,,0.043,0.043,0.043,0.043,0.081,0.083,0.058,0.059,0.217,0.236,0.277,0.285
Regular HS,Filtered Cyano 3,0.042,,0.043,0.044,0.042,0.043,0.085,0.086,0.045,0.044,0.196,0.208,0.315,0.331
No Glucose,No Cyano 1,0.055,,0.041,0.047,0.041,0.048,0.048,0.051,0.053,0.055,0.055,0.054,0.06,0.057
No Glucose,No Cyano 2,0.043,,0.04,0.047,0.042,0.043,0.048,0.048,0.053,0.05,0.053,0.052,0.054,0.056
No Glucose,No Cyano 3,0.042,,0.04,0.047,0.043,0.043,0.048,0.049,0.053,0.055,0.052,0.054,0.055,0.057
No Glucose,Unfiltered Cyano 1,0.291,,0.356,0.352,0.395,0.436,0.528,0.523,0.331,0.373,0.29,0.28,0.319,0.31
No Glucose,Unfiltered Cyano 2,0.409,,0.318,0.303,0.369,0.368,0.463,0.464,0.338,0.344,0.297,0.295,0.303,0.305
No Glucose,Unfiltered Cyano 3,0.243,,0.217,0.202,0.205,0.22,0.27,0.305,0.202,0.202,0.189,0.197,0.203,0.207
No Glucose,Filtered Cyano 1,0.042,,0.041,0.042,0.115,0.119,0.151,0.164,0.108,0.111,0.105,0.101,0.108,0.113
No Glucose,Filtered Cyano 2,0.04,,0.042,0.042,0.044,0.064,0.171,0.177,0.12,0.123,0.1,0.11,0.097,0.098
>No Glucose,Filtered Cyano 3,0.046,,0.042,0.042,0.093,0.083,0.222,0.217,0.781,0.625,0.728,0.682,,